driver,team,lap_number,LapTime,compound,is_pit,stint,lap_start_time,lap_time_s,year,event,round,stint_index,lap_index_in_stint,stint_length
ALB,Williams,1,0 days 00:01:43.888000,SOFT,False,1.0,0 days 00:59:59.911000,103.888,2024,Bahrain Grand Prix,1,1,0,56
ALO,Aston Martin,1,0 days 00:01:41.679000,SOFT,False,1.0,0 days 00:59:59.911000,101.679,2024,Bahrain Grand Prix,1,1,0,57
BOT,Kick Sauber,1,0 days 00:01:48.536000,SOFT,False,1.0,0 days 00:59:59.911000,108.536,2024,Bahrain Grand Prix,1,1,0,55
GAS,Alpine,1,0 days 00:01:47.240000,SOFT,False,1.0,0 days 00:59:59.911000,107.24,2024,Bahrain Grand Prix,1,1,0,56
HAM,Mercedes,1,0 days 00:01:43.122000,SOFT,False,1.0,0 days 00:59:59.911000,103.122,2024,Bahrain Grand Prix,1,1,0,57
HUL,Haas F1 Team,1,0 days 00:01:53.555000,SOFT,False,1.0,0 days 00:59:59.911000,113.555,2024,Bahrain Grand Prix,1,1,0,56
LEC,Ferrari,1,0 days 00:01:38.271000,SOFT,False,1.0,0 days 00:59:59.911000,98.271,2024,Bahrain Grand Prix,1,1,0,57
MAG,Haas F1 Team,1,0 days 00:01:44.349000,SOFT,False,1.0,0 days 00:59:59.911000,104.349,2024,Bahrain Grand Prix,1,1,0,56
NOR,McLaren,1,0 days 00:01:42.168000,SOFT,False,1.0,0 days 00:59:59.911000,102.168,2024,Bahrain Grand Prix,1,1,0,57
OCO,Alpine,1,0 days 00:01:46.657000,SOFT,False,1.0,0 days 00:59:59.911000,106.657,2024,Bahrain Grand Prix,1,1,0,56
PER,Red Bull Racing,1,0 days 00:01:40.053000,SOFT,False,1.0,0 days 00:59:59.911000,100.053,2024,Bahrain Grand Prix,1,1,0,57
PIA,McLaren,1,0 days 00:01:42.523000,SOFT,False,1.0,0 days 00:59:59.911000,102.523,2024,Bahrain Grand Prix,1,1,0,57
RIC,RB,1,0 days 00:01:45.668000,SOFT,False,1.0,0 days 00:59:59.911000,105.668,2024,Bahrain Grand Prix,1,1,0,56
RUS,Mercedes,1,0 days 00:01:39.228000,SOFT,False,1.0,0 days 00:59:59.911000,99.228,2024,Bahrain Grand Prix,1,1,0,57
SAI,Ferrari,1,0 days 00:01:40.620000,SOFT,False,1.0,0 days 00:59:59.911000,100.62,2024,Bahrain Grand Prix,1,1,0,57
SAR,Williams,1,0 days 00:01:45.921000,SOFT,False,1.0,0 days 00:59:59.911000,105.921,2024,Bahrain Grand Prix,1,1,0,54
STR,Aston Martin,1,0 days 00:01:50.214000,SOFT,False,1.0,0 days 00:59:59.911000,110.214,2024,Bahrain Grand Prix,1,1,0,57
TSU,RB,1,0 days 00:01:43.485000,SOFT,False,1.0,0 days 00:59:59.911000,103.485,2024,Bahrain Grand Prix,1,1,0,56
